id,bidder_id,item_id,amount
1,117,148,50.00
2,67,149,5.00
3,74,150,10.00
4,140,151,51.00
5,140,152,20.00
6,109,153,25.00
7,109,154,25.00
8,65,155,34.00
9,54,156,30.00
10,54,157,50.00
11,111,158,20.00
12,133,159,30.00
13,203,169,33.00
14,20,161,6.00
15,133,160,10.00
16,134,168,30.00
17,65,167,50.00
18,95,196,25.00
19,32,197,10.00
20,72,264,15.00
21,133,198,15.00
22,72,265,15.00
23,72,266,20.00
24,72,267,15.00
25,103,162,15.00
26,96,199,16.00
27,8,200,15.00
28,206,201,35.00
29,32,164,10.00
30,20,165,5.00
31,95,202,40.00
32,71,203,20.00
33,65,166,80.00
34,103,204,35.00
35,95,205,50.00
36,146,268,15.00
37,65,170,40.00
38,41,171,25.00
39,205,180,15.00
40,205,172,50.00
41,54,181,30.00
42,70,173,30.00
43,70,174,30.00
44,27,182,25.00
45,8,175,10.00
46,109,183,10.00
47,20,176,5.00
48,201,186,15.00
49,135,187,15.00
50,54,178,30.00
51,60,177,42.00
52,201,179,10.00
53,111,188,15.00
54,40,189,80.00
55,60,190,46.00
57,109,185,50.00
59,200,193,14.00
60,20,194,35.00
61,137,195,40.00
62,27,240,22.00
63,93,206,10.00
64,12,207,15.00
65,41,231,25.00
66,60,232,20.00
67,74,211,160.00
68,33,233,20.00
69,142,211,160.00
70,33,234,40.00
71,111,235,50.00
72,49,211,165.00
73,9,236,100.00
75,41,236,100.00
77,30,236,100.00
78,203,238,25.00
79,95,213,260.00
82,111,239,80.00
83,72,222,70.00
84,53,239,80.00
85,121,223,25.00
86,71,239,80.00
87,9,239,80.00
88,201,224,10.00
89,28,225,80.00
90,201,226,40.00
91,93,239,90.00
92,103,227,15.00
93,54,228,20.00
94,74,229,45.00
95,135,230,25.00
97,71,237,51.00
99,41,208,120.00
100,202,209,350.00
101,28,210,130.00
102,54,219,60.00
103,30,217,110.00
104,93,218,25.00
105,30,221,500.00
106,203,220,45.00
107,155,257,140.00
58,54,192,50.00
56,137,191,55.00
108,60,255,60.00
109,54,255,20.00
110,8,255,20.00
111,66,255,20.00
112,71,212,135.00
113,111,212,150.00
114,30,212,130.00
115,66,212,130.00
116,103,254,325.00
117,112,254,100.00
118,65,256,50.00
119,109,256,25.00
120,96,256,20.00
121,93,256,10.00
122,133,256,20.00
123,142,256,10.00
124,67,256,50.00
125,59,256,10.00
126,202,256,20.00
127,155,256,55.00
128,117,258,160.00
129,72,258,20.00
130,41,258,20.00
131,202,258,20.00
132,65,258,20.00
133,9,258,30.00
134,20,258,60.00
135,200,258,40.00
136,155,258,50.00
137,208,256,150.00
138,147,259,40.00
81,133,215,40.00
96,30,237,170.00
139,155,259,50.00
140,66,259,40.00
141,41,259,60.00
142,95,259,300.00
143,135,259,60.00
144,28,261,180.00
145,93,270,50.00
146,50,260,25.00
147,134,260,25.00
148,56,260,25.00
149,74,260,25.00
150,30,262,100.00
151,201,262,200.00
152,95,262,100.00
154,53,210,125.00
155,28,262,100.00
156,202,210,100.00
157,203,253,20.00
158,71,253,20.00
159,207,253,20.00
160,133,253,200.00
161,54,253,50.00
162,202,253,50.00
164,93,253,70.00
167,201,253,200.00
168,109,253,20.00
169,96,253,20.00
163,142,253,10.00
165,144,253,10.00
80,133,214,30.00
170,96,214,30.00
171,96,215,40.00
